
# 2026-06-17T21:39:57+01:00 | Autogluon_QR
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=20 | time=37.32047772407532 | MSE_test=1415580267.0643458 | MSE_sur_real=103150445866.07039 | HV_sur=1.2091548059210884 | HV_real=1.2095222434902457 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=21 | time=36.662424087524414 | MSE_test=1415580267.0643458 | MSE_sur_real=115556405498.64735 | HV_sur=1.209951682762695 | HV_real=1.2095332494791105 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=22 | time=37.78682351112366 | MSE_test=1415580267.0643458 | MSE_sur_real=113720489347.51512 | HV_sur=1.2088665044457767 | HV_real=1.2095243338977977 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=23 | time=37.93219017982483 | MSE_test=1415580267.0643458 | MSE_sur_real=109953140469.98369 | HV_sur=1.2103006925396864 | HV_real=1.2095052657799312 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=24 | time=37.071789026260376 | MSE_test=1415580267.0643458 | MSE_sur_real=127311865308.6611 | HV_sur=1.2101235561032286 | HV_real=1.2095149820464546 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=25 | time=38.9367196559906 | MSE_test=1415580267.0643458 | MSE_sur_real=113850464472.01799 | HV_sur=1.2091244116832824 | HV_real=1.2095077419145208 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=26 | time=41.015169858932495 | MSE_test=1415580267.0643458 | MSE_sur_real=106444524657.27322 | HV_sur=1.2102919466766109 | HV_real=1.2095037583459591 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=27 | time=38.28674530982971 | MSE_test=1415580267.0643458 | MSE_sur_real=133091347355.87685 | HV_sur=1.2099364475761625 | HV_real=1.209516236461373 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=28 | time=39.25452947616577 | MSE_test=1415580267.0643458 | MSE_sur_real=113429990209.91216 | HV_sur=1.2091842151380559 | HV_real=1.209511521521191 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=29 | time=37.76857233047485 | MSE_test=1415580267.0643458 | MSE_sur_real=128279539264.70627 | HV_sur=1.2087932206358825 | HV_real=1.2095384515247358 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=30 | time=38.23320960998535 | MSE_test=1415580267.0643458 | MSE_sur_real=125175107959.84752 | HV_sur=1.2085541247533862 | HV_real=1.209541573868536 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re24 | seed=1 | time=48.19456958770752 | MSE_test=43.141683061672474 | MSE_sur_real=56.52427240884311 | HV_sur=1.1819873064521016 | HV_real=1.183681388156216 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re24 | seed=2 | time=47.61302351951599 | MSE_test=43.141683061672474 | MSE_sur_real=54.28088970246225 | HV_sur=1.1819834891838044 | HV_real=1.1839128025904342 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re24 | seed=3 | time=45.63494086265564 | MSE_test=43.141683061672474 | MSE_sur_real=47.946896419178074 | HV_sur=1.1819877264996614 | HV_real=1.1837284500804068 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re24 | seed=4 | time=46.94719886779785 | MSE_test=43.141683061672474 | MSE_sur_real=50.20769830553344 | HV_sur=1.181982896773424 | HV_real=1.1837232702896243 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re24 | seed=5 | time=48.656243562698364 | MSE_test=43.141683061672474 | MSE_sur_real=45.79117869911954 | HV_sur=1.1819776011439216 | HV_real=1.1847358208688206 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re24 | seed=6 | time=46.40396213531494 | MSE_test=43.141683061672474 | MSE_sur_real=53.792913392608014 | HV_sur=1.181983477918248 | HV_real=1.1838530481794063 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re24 | seed=7 | time=46.92080307006836 | MSE_test=43.141683061672474 | MSE_sur_real=51.994272223336274 | HV_sur=1.1819831374309862 | HV_real=1.1850195410896394 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re24 | seed=8 | time=46.34457325935364 | MSE_test=43.141683061672474 | MSE_sur_real=46.63220313120676 | HV_sur=1.181979937356701 | HV_real=1.183751152597583 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re24 | seed=9 | time=46.92524170875549 | MSE_test=43.141683061672474 | MSE_sur_real=56.17206252954437 | HV_sur=1.1819766844457409 | HV_real=1.1840720107406109 | HV_bounds_check=True | solution_count=100
