
# 2026-06-17T16:24:16+01:00 | Autogluon_Ensemble
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=24 | time=23.616585969924927 | MSE_test=1264697180.4375858 | MSE_sur_real=9136623719.411385 | HV_sur=1.2277418356714473 | HV_real=1.2095451819103114 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=25 | time=24.222919464111328 | MSE_test=1264697180.4375858 | MSE_sur_real=7737637969.479119 | HV_sur=1.2277457099988116 | HV_real=1.2095632805379535 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=26 | time=24.349981784820557 | MSE_test=1264697180.4375858 | MSE_sur_real=8052206483.231094 | HV_sur=1.2277352075448364 | HV_real=1.2095624759847707 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=27 | time=24.06722664833069 | MSE_test=1264697180.4375858 | MSE_sur_real=2187245830.5025024 | HV_sur=1.2275927312038075 | HV_real=1.2095551635144122 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=28 | time=23.71644639968872 | MSE_test=1264697180.4375858 | MSE_sur_real=10257767399.270557 | HV_sur=1.2270200488038487 | HV_real=1.2095504985661318 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=29 | time=24.352919816970825 | MSE_test=1264697180.4375858 | MSE_sur_real=2583569288.9278913 | HV_sur=1.227072517733939 | HV_real=1.2095655364722453 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=30 | time=23.748546838760376 | MSE_test=1264697180.4375858 | MSE_sur_real=6165258216.415055 | HV_sur=1.227147096455296 | HV_real=1.2095652552098182 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=1 | time=12.374634504318237 | MSE_test=23.109731170034586 | MSE_sur_real=89.24382456047549 | HV_sur=1.1806368672994212 | HV_real=1.1859329460359191 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=2 | time=12.0955171585083 | MSE_test=23.109731170034586 | MSE_sur_real=137.19276662921638 | HV_sur=1.180651047283241 | HV_real=1.1859638727565924 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=3 | time=12.356028318405151 | MSE_test=23.109731170034586 | MSE_sur_real=58.892138160224995 | HV_sur=1.1806503047456522 | HV_real=1.1857160879099462 | HV_bounds_check=True | solution_count=100
