
# 2026-06-17T15:11:37+01:00 | Autogluon_XGBoost
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=30 | time=3.3463785648345947 | MSE_test=1661157379.7419522 | MSE_sur_real=874721269.0485976 | HV_sur=1.2056084018347977 | HV_real=1.2043846986883695 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=1 | time=2.982827663421631 | MSE_test=267.89988129461244 | MSE_sur_real=73.4228660550576 | HV_sur=1.1749391894253682 | HV_real=1.179277023335971 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=2 | time=3.077908754348755 | MSE_test=267.89988129461244 | MSE_sur_real=51.74122762753474 | HV_sur=1.1749391894253682 | HV_real=1.1797578727328888 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=3 | time=3.010485887527466 | MSE_test=267.89988129461244 | MSE_sur_real=42.21744644426947 | HV_sur=1.1749391894253682 | HV_real=1.1790036904200765 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=4 | time=3.0460946559906006 | MSE_test=267.89988129461244 | MSE_sur_real=57.00438877496782 | HV_sur=1.1749391894253682 | HV_real=1.1799314372433953 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=5 | time=3.2128145694732666 | MSE_test=267.89988129461244 | MSE_sur_real=42.77353304778149 | HV_sur=1.1749391894253682 | HV_real=1.1798035926860142 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=6 | time=3.030815601348877 | MSE_test=267.89988129461244 | MSE_sur_real=50.98116412499042 | HV_sur=1.1749391894253682 | HV_real=1.17935956224305 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=7 | time=2.773482084274292 | MSE_test=267.89988129461244 | MSE_sur_real=46.757821851173205 | HV_sur=1.1749391894253682 | HV_real=1.1797469475115707 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=8 | time=2.601719617843628 | MSE_test=267.89988129461244 | MSE_sur_real=40.24839160636845 | HV_sur=1.1749391894253682 | HV_real=1.179053371943263 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=9 | time=2.479459762573242 | MSE_test=267.89988129461244 | MSE_sur_real=54.61929423318011 | HV_sur=1.1749391894253682 | HV_real=1.1792549041142173 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=10 | time=2.5920629501342773 | MSE_test=267.89988129461244 | MSE_sur_real=64.94690828626204 | HV_sur=1.1749391894253682 | HV_real=1.1791884671546136 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=11 | time=2.9177370071411133 | MSE_test=267.89988129461244 | MSE_sur_real=51.95368485676439 | HV_sur=1.1749391894253682 | HV_real=1.1796219558097343 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=12 | time=3.071484327316284 | MSE_test=267.89988129461244 | MSE_sur_real=95.38846048153866 | HV_sur=1.1749391894253682 | HV_real=1.1796653695098407 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=13 | time=3.057077407836914 | MSE_test=267.89988129461244 | MSE_sur_real=56.67347786453751 | HV_sur=1.1749391894253682 | HV_real=1.1796157785651484 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re24 | seed=14 | time=2.985358238220215 | MSE_test=267.89988129461244 | MSE_sur_real=50.18786952592837 | HV_sur=1.1749391894253682 | HV_real=1.1795019514750937 | HV_bounds_check=True | solution_count=100
