
# 2026-06-17T14:36:15+01:00 | DDMOEA-GAN
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=20 | time=1.7769556045532227 | MSE_test=98180415442.49887 | MSE_sur_real=14464388361.567793 | HV_sur=1.2100000000000002 | HV_real=0.9620627838268545 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=21 | time=2.083885669708252 | MSE_test=98180415442.49887 | MSE_sur_real=14300483410.791388 | HV_sur=1.2100000000000002 | HV_real=0.9790087455757209 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=22 | time=2.3316080570220947 | MSE_test=98180415442.49887 | MSE_sur_real=14519224880.61016 | HV_sur=1.2100000000000002 | HV_real=0.9755966320920921 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=23 | time=1.469771146774292 | MSE_test=98180415442.49887 | MSE_sur_real=14183369271.017813 | HV_sur=1.2100000000000002 | HV_real=1.0628080786214729 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=24 | time=2.066169023513794 | MSE_test=98180415442.49887 | MSE_sur_real=14487863945.926504 | HV_sur=1.2100000000000002 | HV_real=0.9754263250332288 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=25 | time=2.0700275897979736 | MSE_test=98180415442.49887 | MSE_sur_real=14711590198.614094 | HV_sur=1.2100000000000002 | HV_real=0.9578383162684752 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=26 | time=2.058058261871338 | MSE_test=98180415442.49887 | MSE_sur_real=14460900458.782574 | HV_sur=1.2100000000000002 | HV_real=0.9617074075163842 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=27 | time=2.037389039993286 | MSE_test=98180415442.49887 | MSE_sur_real=14266227118.691504 | HV_sur=1.2100000000000002 | HV_real=0.9813942484938318 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=28 | time=1.4294564723968506 | MSE_test=98180415442.49887 | MSE_sur_real=14511911307.741205 | HV_sur=1.2100000000000002 | HV_real=0.9912447731373017 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=29 | time=1.9318218231201172 | MSE_test=98180415442.49887 | MSE_sur_real=14454169563.435143 | HV_sur=1.2100000000000002 | HV_real=0.9809997872913175 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=30 | time=2.064810037612915 | MSE_test=98180415442.49887 | MSE_sur_real=14385336286.326601 | HV_sur=1.2100000000000002 | HV_real=0.9580791109915484 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re24 | seed=1 | time=1.7426292896270752 | MSE_test=5438034.379605423 | MSE_sur_real=2531026.2211233117 | HV_sur=1.1989295352368001 | HV_real=0.4709322624189086 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re24 | seed=2 | time=2.0295357704162598 | MSE_test=5438034.379605423 | MSE_sur_real=2476682.4188932613 | HV_sur=1.198929534433711 | HV_real=0.4707859565205923 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re24 | seed=3 | time=1.4803545475006104 | MSE_test=5438034.379605423 | MSE_sur_real=2149778.017476147 | HV_sur=1.1989295334155914 | HV_real=0.46176823428194624 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re24 | seed=4 | time=2.1180505752563477 | MSE_test=5438034.379605423 | MSE_sur_real=2387109.8411184708 | HV_sur=1.1989295350801117 | HV_real=0.4867128393364505 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re24 | seed=5 | time=1.9361159801483154 | MSE_test=5438034.379605423 | MSE_sur_real=2490855.4458417916 | HV_sur=1.198929533790393 | HV_real=0.49603876090576704 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re24 | seed=6 | time=2.047868251800537 | MSE_test=5438034.379605423 | MSE_sur_real=2400754.793979709 | HV_sur=1.1989295357680005 | HV_real=0.46756723517530496 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re24 | seed=7 | time=1.9293797016143799 | MSE_test=5438034.379605423 | MSE_sur_real=2538398.1707064644 | HV_sur=1.1989295354511211 | HV_real=0.4693580038571972 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re24 | seed=8 | time=1.446474313735962 | MSE_test=5438034.379605423 | MSE_sur_real=2431538.700246456 | HV_sur=1.198929533203361 | HV_real=0.47942443177438837 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re24 | seed=9 | time=1.938368797302246 | MSE_test=5438034.379605423 | MSE_sur_real=2357372.635039012 | HV_sur=1.1989295345546631 | HV_real=0.467422096483896 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re24 | seed=10 | time=1.9224903583526611 | MSE_test=5438034.379605423 | MSE_sur_real=2325585.0130980895 | HV_sur=1.1989295335729055 | HV_real=0.4748585472503213 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re24 | seed=11 | time=1.9949440956115723 | MSE_test=5438034.379605423 | MSE_sur_real=2532058.4200217114 | HV_sur=1.1989295337473944 | HV_real=0.4910967631046192 | HV_bounds_check=None | solution_count=100
