
# 2026-06-17T14:40:28+01:00 | TGPR-MO
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=15 | time=3.3628149032592773 | MSE_test=10693997676.751623 | MSE_sur_real=81432752245.47383 | HV_sur=1.2100583112142096 | HV_real=1.2094362966879266 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=16 | time=3.323413133621216 | MSE_test=10693997676.751623 | MSE_sur_real=73969397029.84123 | HV_sur=1.2100622260944576 | HV_real=1.2094536922446104 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=17 | time=3.2687387466430664 | MSE_test=10693997676.751623 | MSE_sur_real=80267616641.33383 | HV_sur=1.2100512496400495 | HV_real=1.2094360161644118 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=18 | time=3.2744758129119873 | MSE_test=10693997676.751623 | MSE_sur_real=64751878361.834114 | HV_sur=1.2100585888294189 | HV_real=1.2094395948415813 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=19 | time=3.364346981048584 | MSE_test=10693997676.751623 | MSE_sur_real=72306004571.1508 | HV_sur=1.2100543714817436 | HV_real=1.2094359688229575 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=20 | time=3.5153191089630127 | MSE_test=10693997676.751623 | MSE_sur_real=68075963209.76905 | HV_sur=1.2100616372241555 | HV_real=1.2094539660991144 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=21 | time=3.2799553871154785 | MSE_test=10693997676.751623 | MSE_sur_real=69442284383.10094 | HV_sur=1.2100328862627026 | HV_real=1.2094161175075846 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=22 | time=3.319239377975464 | MSE_test=10693997676.751623 | MSE_sur_real=76006616963.87915 | HV_sur=1.2100627384761997 | HV_real=1.2094538938768389 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=23 | time=3.3698601722717285 | MSE_test=10693997676.751623 | MSE_sur_real=75730643912.62607 | HV_sur=1.2100264674373422 | HV_real=1.2094048631202645 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=24 | time=3.3718364238739014 | MSE_test=10693997676.751623 | MSE_sur_real=72508108302.83531 | HV_sur=1.2100586202530603 | HV_real=1.2094240204708944 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=25 | time=3.5260543823242188 | MSE_test=10693997676.751623 | MSE_sur_real=79587639391.06865 | HV_sur=1.2100594327359122 | HV_real=1.209454056748492 | HV_bounds_check=None | solution_count=33
