
# 2026-06-17T21:56:45+00:00 | GPR_Matern
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=27 | time=1.9237678050994873 | MSE_test=32497.25311254042 | MSE_sur_real=4.337103527168144e+16 | HV_sur=1.202752061300849 | HV_real=1.202198422303533 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=28 | time=1.980776071548462 | MSE_test=32497.25311254042 | MSE_sur_real=225160447351.0928 | HV_sur=1.2033049490274925 | HV_real=1.2021984152571052 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=29 | time=1.915693759918213 | MSE_test=32497.25311254042 | MSE_sur_real=6165150256.793053 | HV_sur=1.2039119223160029 | HV_real=1.2021984214380046 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=30 | time=1.9253251552581787 | MSE_test=32497.25311254042 | MSE_sur_real=453061864421.0574 | HV_sur=1.2023822242206819 | HV_real=1.2021984100962462 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=1 | time=2.135978937149048 | MSE_test=32497.25311254042 | MSE_sur_real=81937294.39800626 | HV_sur=1.2023762237795252 | HV_real=1.2021982118406331 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=2 | time=2.3108839988708496 | MSE_test=32497.25311254042 | MSE_sur_real=1750903098144.3555 | HV_sur=1.203909152569043 | HV_real=1.202198421463822 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=3 | time=2.1753976345062256 | MSE_test=32497.25311254042 | MSE_sur_real=156408965829600.8 | HV_sur=1.2027516528626085 | HV_real=1.2021984163256303 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=4 | time=2.141197681427002 | MSE_test=32497.25311254042 | MSE_sur_real=1.14625638445613e+16 | HV_sur=1.2027520758008057 | HV_real=1.2021984232093703 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=5 | time=2.1022086143493652 | MSE_test=32497.25311254042 | MSE_sur_real=5116171591.446444 | HV_sur=1.202496936883848 | HV_real=1.2021972490691655 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=6 | time=2.1256752014160156 | MSE_test=32497.25311254042 | MSE_sur_real=156839882414.30832 | HV_sur=1.2023799924697725 | HV_real=1.2021984232757439 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=7 | time=2.1787705421447754 | MSE_test=32497.25311254042 | MSE_sur_real=85397090.89146584 | HV_sur=1.2038739924085191 | HV_real=1.2021984102324543 | HV_bounds_check=True | solution_count=None
