timestamp,method,optimizer,problem,MSE_test_mean,MSE_test_std,MSE_sur_real_mean,MSE_sur_real_std,HV_sur_mean,HV_sur_std,HV_real_mean,HV_real_std
2026-06-18T15:33:00+01:00,BNN,Dual-Ranking+NSGA-II,re22,1.50E+03,2.27E-13,2.26E+08,5.52E+08,1.21E+00,3.23E-07,1.20E+00,6.79E-10
2026-06-18T15:33:09+01:00,BNN,NSGA-II,re21,1.02E+02,2.84E-14,1.32E+03,8.94E+01,5.40E-01,1.43E-04,5.61E-01,7.70E-04
2026-06-18T15:33:09+01:00,BNN,Dual-Ranking+NSGA-II,re21,1.02E+02,2.84E-14,1.35E+03,1.06E+02,5.40E-01,3.08E-04,5.61E-01,7.91E-04
2026-06-18T15:59:29+01:00,BNN,NSGA-II,re25,7.86E+11,1.22E-04,6.96E+11,3.54E+10,1.06E+00,2.07E-06,1.12E+00,7.63E-04
2026-06-18T15:59:29+01:00,BNN,Dual-Ranking+NSGA-II,re25,7.86E+11,1.22E-04,6.51E+11,4.73E+10,1.06E+00,1.83E-06,1.12E+00,9.08E-04
2026-06-18T16:00:35+01:00,BNN,NSGA-II,truss2d,2.75E+12,0,8.45E+08,2.50E+07,6.94E-01,5.68E-07,1.12E+00,3.10E-04
2026-06-18T16:00:35+01:00,BNN,Dual-Ranking+NSGA-II,truss2d,2.75E+12,0,8.07E+08,3.16E+07,6.94E-01,7.35E-07,1.12E+00,4.37E-04
2026-06-18T16:04:17+01:00,BNN,NSGA-II,mo-portfolio,2.30E-06,4.24E-22,7.63E-03,1.26E-03,1.79E-01,4.76E-04,1.66E-01,2.95E-02
2026-06-18T16:04:17+01:00,BNN,Dual-Ranking+NSGA-II,mo-portfolio,2.30E-06,4.24E-22,6.87E-03,1.20E-03,1.79E-01,3.48E-04,1.75E-01,2.74E-02
2026-06-18T16:04:47+01:00,BNN,NSGA-II,welded_beam,1.59E+03,6.82E-13,5.41E+01,7.29E+00,5.62E-01,1.25E-03,5.91E-01,1.28E-03
