
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=17 | time=427.90064764022827 | MSE_test=0.07423399911251259 | MSE_sur_real=7.5777354323538635 | HV_sur=1.1857018555640093 | HV_real=1.1841103140356277 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=18 | time=427.2783679962158 | MSE_test=0.07423399911251259 | MSE_sur_real=6.96779335184962 | HV_sur=1.1865939118948186 | HV_real=1.185242616156057 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=19 | time=426.9950313568115 | MSE_test=0.07423399911251259 | MSE_sur_real=7.1703636353851605 | HV_sur=1.1868205900014672 | HV_real=1.1853705458371528 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=20 | time=428.00591349601746 | MSE_test=0.07423399911251259 | MSE_sur_real=7.384727418673268 | HV_sur=1.1861157228131998 | HV_real=1.1845580701053477 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=21 | time=428.0956521034241 | MSE_test=0.07423399911251259 | MSE_sur_real=7.772935960960575 | HV_sur=1.1863274602891447 | HV_real=1.1849371042119115 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=22 | time=427.44487023353577 | MSE_test=0.07423399911251259 | MSE_sur_real=6.542881175069826 | HV_sur=1.1865284339063864 | HV_real=1.1853712890863815 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=23 | time=427.2733235359192 | MSE_test=0.07423399911251259 | MSE_sur_real=0.6221003598584398 | HV_sur=1.182183882765006 | HV_real=1.1734497347488357 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=24 | time=427.229195356369 | MSE_test=0.07423399911251259 | MSE_sur_real=0.3210637064255132 | HV_sur=1.1832743134825419 | HV_real=1.1740268489922592 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=25 | time=427.9868845939636 | MSE_test=0.07423399911251259 | MSE_sur_real=7.686309761848407 | HV_sur=1.186326348911582 | HV_real=1.184607100023933 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=26 | time=427.66228580474854 | MSE_test=0.07423399911251259 | MSE_sur_real=6.438299550262572 | HV_sur=1.1858967767616855 | HV_real=1.184545584080403 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=27 | time=430.48412466049194 | MSE_test=0.07423399911251259 | MSE_sur_real=0.5048439519835431 | HV_sur=1.1832014665054604 | HV_real=1.1740562896565738 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=28 | time=429.9723165035248 | MSE_test=0.07423399911251259 | MSE_sur_real=91.66814165493794 | HV_sur=1.1847913543744555 | HV_real=1.181819170293516 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=29 | time=430.24668741226196 | MSE_test=0.07423399911251259 | MSE_sur_real=6.904797502711886 | HV_sur=1.1867535261224569 | HV_real=1.1853899208244896 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=30 | time=428.7607388496399 | MSE_test=0.07423399911251259 | MSE_sur_real=6.517879141226943 | HV_sur=1.1864528565906487 | HV_real=1.1850622759807548 | HV_bounds_check=None | solution_count=50

# 2026-06-18T18:34:16+01:00 | Prob-MOEA/D
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=1 | time=425.951140165329 | MSE_test=2290292.766048375 | MSE_sur_real=1788154.5273772918 | HV_sur=0.8105891934172361 | HV_real=0.3581636870760427 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=2 | time=424.73201179504395 | MSE_test=2290292.766048375 | MSE_sur_real=2560543.890518287 | HV_sur=0.916797417105842 | HV_real=0.30021766409580875 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=3 | time=425.1702518463135 | MSE_test=2290292.766048375 | MSE_sur_real=1436813.1997097624 | HV_sur=0.7977904314726547 | HV_real=0.4165389735031759 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=4 | time=426.3624758720398 | MSE_test=2290292.766048375 | MSE_sur_real=3066345.1238236413 | HV_sur=1.0407894365049113 | HV_real=0.29601562410906096 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=5 | time=425.9512429237366 | MSE_test=2290292.766048375 | MSE_sur_real=2326395.7969182073 | HV_sur=0.7635903349720664 | HV_real=0.2770543508509641 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=6 | time=428.6835799217224 | MSE_test=2290292.766048375 | MSE_sur_real=1269163.5510657206 | HV_sur=0.698927677055278 | HV_real=0.3744219048875021 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=7 | time=429.18516540527344 | MSE_test=2290292.766048375 | MSE_sur_real=2366020.5509225507 | HV_sur=0.9379601369234438 | HV_real=0.3755258326179173 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=8 | time=429.5179717540741 | MSE_test=2290292.766048375 | MSE_sur_real=2753734.864939744 | HV_sur=0.7893178200144931 | HV_real=0.2521979927695782 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=9 | time=428.4939501285553 | MSE_test=2290292.766048375 | MSE_sur_real=2565218.5502967183 | HV_sur=1.0218357531468316 | HV_real=0.3612130263603633 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=10 | time=427.03758692741394 | MSE_test=2290292.766048375 | MSE_sur_real=3998781.1675168956 | HV_sur=1.133993838969696 | HV_real=0.18635632551317177 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=11 | time=425.4721646308899 | MSE_test=2290292.766048375 | MSE_sur_real=2822061.669410682 | HV_sur=0.9385196005191809 | HV_real=0.29726847978608084 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re21 | seed=12 | time=425.93295907974243 | MSE_test=2290292.766048375 | MSE_sur_real=2749940.700858834 | HV_sur=0.8322059835906844 | HV_real=0.2525889945953021 | HV_bounds_check=None | solution_count=50
